index,name,surname,party,colour,linked,note
HMSH,Mark,BUTLER,ALP,#ed0011,false,
HNTR,Dan,REPACHOLI,ALP,#ed0011,true,
HOLT,Cassandra,FERNANDO,ALP,#ed0011,false,
HRBT,Phillip,THOMPSON,LNP,#1983f7,false,
HSLK,Tania,LAWRENCE,ALP,#ed0011,false,
HTHM,Clare,O'NEIL,ALP,#ed0011,false,
HUME,Angus,TAYLOR,LIB,#083cdd,true,
HWKE,Sam,RAE,ALP,#ed0011,false,
INDI,Helen,HAINES,IND,#9c9c9c,true,
ISAC,Mark,DREYFUS,ALP,#ed0011,false,
JAGA,Kate,THWAITES,ALP,#ed0011,false,
KFDS,Matt,THISTLETHWAITE,ALP,#ed0011,true,
KNDY,Bob,KATTER,KAP,#b26c2a,false,
KOOY,Monique,RYAN,IND,#9c9c9c,false,
KSTN,Amanda,RISHWORTH,ALP,#ed0011,false,
LALR,Joanne,RYAN,ALP,#ed0011,false,
LCHT,Warren,ENTSCH,LNP,#1983f7,false,
LDSY,Melissa,MCINTOSH,LIB,#083cdd,false,
LGMN,Terry,YOUNG,LNP,#1983f7,false,
LLLY,Anika,WELLS,ALP,#ed0011,false,
LNGI,Marion,SCRYMGOUR,ALP,#ed0011,false,
LTRB,Jason,WOOD,LIB,#083cdd,false,
LYNE,David,GILLESPIE,NAT,#008033,false,
LYNS,Brian,MITCHELL,ALP,#ed0011,false,
MACQ,Susan,TEMPLEMAN,ALP,#ed0011,false,
MAKN,Tony,ZAPPIA,ALP,#ed0011,false,
MAYO,Rebekha,SHARKIE,CEN,#ff6300,false,
MBYN,Bill,SHORTEN,ALP,#ed0011,false,Shorten retired on 20 Jan 2025. No by-election held due to timing with general election.
MCEW,Rob,MITCHELL,ALP,#ed0011,false,
MCNM,Josh,BURNS,ALP,#ed0011,false,
MCRF,Angie,BELL,LNP,#1983f7,false,
MCTH,Mike,FREELANDER,ALP,#ed0011,true,
MELB,Adam,BANDT,GRN,#64d915,true,
MKLR,Sophie,SCAMPS,IND,#9c9c9c,false,
MLLE,Anne,WEBSTER,NAT,#008033,true,
MMHN,Chris,BOWEN,ALP,#ed0011,false,
MNSH,Russell,BROADBENT,LIB,#083cdd,false,Broadbent resigned from Liberal Party (LIB) on 14 Nov 2023 to sit as Independent (IND).
MNZS,Keith,WOLAHAN,LIB,#083cdd,false,
MOOR,Ian,GOODENOUGH,LIB,#083cdd,false,Goodenough resigned from Liberal Party (LIB) on 12 Jan 2025 to sit as Independent (IND).
MPHS,Karen,ANDREWS,LNP,#1983f7,false,
MRNA,David,LITTLEPROUD,LNP,#1983f7,true,
MRTN,Graham,PERRETT,ALP,#ed0011,false,
MTCH,Alex,HAWKE,LIB,#083cdd,false,
NCHL,Sam,BIRRELL,NAT,#008033,false,
NENG,Barnaby,JOYCE,NAT,#008033,true,
NEWC,Sharon,CLAYDON,ALP,#ed0011,true,
NSYD,Kylea,TINK,IND,#9c9c9c,true,
OCNR,Rick,WILSON,LIB,#083cdd,false,
OXLY,Mlton,DICK,ALP,#ed0011,false,
PAGE,Kevin,HOGAN,NAT,#008033,false,
PMTA,Andrew,CHARLTON,ALP,#ed0011,true,
PRCE,Tracey,ROBERTS,ALP,#ed0011,false,
PRKS,Mark,COULTON,NAT,#008033,false,
PRTH,Patrick,GORMAN,ALP,#ed0011,true,
PTRI,Like,HOWARTH,LNP,#1983f7,false,
PTSN,Meryl,SWANSON,ALP,#ed0011,false,
RCHM,Justine,ELLIOT,ALP,#ed0011,false,
REID,Sally,SITOU,ALP,#ed0011,false,
RIVA,Michael,MCCORMACK,NAT,#008033,true,
RNKN,Jim,CHALMERS,ALP,#ed0011,false,
ROBN,Gordon,REID,ALP,#ed0011,false,
RYAN,Elizabeth,WATSON-BROWN,GRN,#64d915,false,
SCLN,Andrew,GILES,ALP,#ed0011,false,
SHTL,Pat,CONROY,ALP,#ed0011,false,
SLMN,Luke,GOSLING,ALP,#ed0011,false,
SPNC,Matt,BURNELL,ALP,#ed0011,false,
STRT,James,STEVENS,LIB,#083cdd,false,
SWAN,Zaneta,MASCARENHAS,ALP,#ed0011,true,
SYDN,Tanya,PLIBERSEK,ALP,#ed0011,true,
TGNY,Sam,LIM,ALP,#ed0011,false,
WDBY,Llew,O'BRIEN,LNP,#1983f7,true,
WGAH,Zali,STEGGALL,IND,#9c9c9c,true,
WGHT,Scott,BUCHHOLZ,LNP,#1983f7,false,
WHLM,Stephen,JONES,ALP,#ed0011,false,
WLLS,Peter,KHALIL,ALP,#ed0011,false,
WNNN,Dan,TEHAN,LIB,#083cdd,true,
WRWA,Anne,STANLEY,ALP,#ed0011,false,
WTSN,Tony,BURKE,ALP,#ed0011,false,
WWTH,Allegra,SPENDER,IND,#9c9c9c,false,
