index,name,surname,party,colour,linked,note
WDBY,Llew,O'BRIEN,LNP,#1983f7,TRUE,
WGAH,Zali,STEGGALL,IND,#9c9c9c,TRUE,
WGHT,Scott,BUCHHOLZ,LNP,#1983f7,,
WHLM,Carol,BERRY,ALP,#ed0011,,
WLLS,Peter,KHALIL,ALP,#ed0011,,
WNNN,Dan,TEHAN,LIB,#083cdd,TRUE,
WRWA,Anne Maree,STANLEY,ALP,#ed0011,FALSE,
WTSN,Tony,BURKE,ALP,#ed0011,,
WWTH,Allegra,SPENDER,IND,#9c9c9c,,






