index,name,surname,party,colour,linked,note
NSYD,Kylea,TINK,IND,#9c9c9c,TRUE,
OCNR,Rick,WILSON,LIB,#083cdd,,
OXLY,Mlton,DICK,ALP,#ed0011,,
PAGE,Kevin,HOGAN,NAT,#008033,,
PMTA,Andrew,CHARLTON,ALP,#ed0011,TRUE,
PRCE,Tracey,ROBERTS,ALP,#ed0011,FALSE,
PRKS,Mark,COULTON,NAT,#008033,FALSE,
PRTH,Patrick,GORMAN,ALP,#ed0011,TRUE,
PTRI,Like,HOWARTH,LNP,#1983f7,FALSE,
PTSN,Meryl,SWANSON,ALP,#ed0011,FALSE,
RCHM,Justine,ELLIOT,ALP,#ed0011,FALSE,
REID,Sally,SITOU,ALP,#ed0011,,
RIVA,Michael,MCCORMACK,NAT,#008033,TRUE,
RNKN,Jim,CHALMERS,ALP,#ed0011,,
ROBN,Gordon,REID,ALP,#ed0011,,
RYAN,Elizabeth,WATSON-BROWN,GRN,#64d915,,
SCLN,Andrew,GILES,ALP,#ed0011,,
SHTL,Pat,CONROY,ALP,#ed0011,FALSE,
SLMN,Luke,GOSLING,ALP,#ed0011,,
SPNC,Matt,BURNELL,ALP,#ed0011,,
STRT,James,STEVENS,LIB,#083cdd,,
SWAN,Zaneta,MASCARENHAS,ALP,#ed0011,TRUE,
SYDN,Tanya,PLIBERSEK,ALP,#ed0011,TRUE,
TGNY,Sam,LIM,ALP,#ed0011,,
WDBY,Llew,O'BRIEN,LNP,#1983f7,TRUE,
WGAH,Zali,STEGGALL,IND,#9c9c9c,TRUE,
WGHT,Scott,BUCHHOLZ,LNP,#1983f7,,
WHLM,Stephen,JONES,ALP,#ed0011,,
WLLS,Peter,KHALIL,ALP,#ed0011,,
WNNN,Dan,TEHAN,LIB,#083cdd,TRUE,
WRWA,Anne,STANLEY,ALP,#ed0011,FALSE,
WTSN,Tony,BURKE,ALP,#ed0011,,
WWTH,Allegra,SPENDER,IND,#9c9c9c,,


